"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Prevotella","Propionibacterium","Reinekea","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
4541,11673,759,886,108,701,3348,725,2158,206,2674,3209,1303,1290,2384,2077,1023,3543,119,1411,7611,234,1179,361,1252,270,12634
3045,14235,77,920,408,50,4371,78,1000,672,288,4479,2036,36,6849,1988,113,9933,659,39,5074,217,1332,20,2616,175,10707
693,6800,672,2463,1034,45,2435,558,1092,8,3083,10344,1960,466,3440,2040,427,561,214,898,8038,607,2073,94,887,155,11977
2088,16418,177,3658,64,5847,7743,457,1276,2847,1087,4163,7475,100,1526,496,291,7,0,488,6115,15,1162,49,0,0,16628
81,13995,141,1373,534,125,1598,174,401,109,3701,5432,3353,419,5165,3150,423,1119,3905,140,6079,1327,1342,13,555,213,16186
281,16785,124,2252,247,237,8288,516,0,2,906,2989,0,222,2918,4264,80,2193,2192,0,0,4,1788,113,580,1527,8084
2526,24829,344,957,39,326,2339,383,0,4,1450,3441,0,171,5307,2747,29,3904,82,0,0,101,719,156,1582,160,6034
8585,21104,552,1087,921,122,2112,402,700,33,918,2894,754,75,2542,1688,399,19101,5,173,8499,128,1807,185,1948,83,9339
4316,24413,100,1239,87,172,3601,928,4984,8,1968,3172,861,93,6993,1879,726,5423,524,1456,7524,403,376,328,544,94,15240
4556,20291,2160,1641,492,124,8544,400,1824,58,3419,7717,4742,225,9099,789,243,7435,20,364,4917,2487,12998,29,3063,191,8823
13005,14966,190,1400,12,111,2738,279,142,2,3790,4976,1477,6,6827,594,130,10062,1,1513,4372,359,2254,68,547,444,9534
6407,18595,709,2656,156,23,1688,252,369,78,4732,9763,3994,27,6949,1369,464,4857,966,107,4570,1009,760,44,1259,188,7654
6331,17206,295,2026,207,102,1999,60,0,3,1085,1522,0,4,4945,1823,3,4903,1817,0,0,13,1661,26,1301,975,6333
930,37414,402,2237,273,79,2651,386,0,5,3018,3305,0,138,6799,4666,51,7042,3453,0,0,519,848,138,1736,384,6692
1727,9694,84,5702,1706,435,5351,982,1060,814,1490,6026,2135,35,5912,2125,597,1927,1023,782,8879,540,895,597,1157,1922,16440
11955,14521,291,961,1,30,1957,357,366,116,835,4831,2140,26,7323,1831,897,9109,47,176,2432,25,2245,47,479,601,7939
2088,19043,349,736,335,167,4362,1042,780,1067,2441,4669,1120,19,5385,2103,278,1889,93,1806,6117,506,1115,596,1605,428,11735
9419,444,142,342,244,19,813,150,59,3,512,902,333,13,528,641,265,7019,0,244,1017,2,738,8,181,47,2271
0,1768,485,1378,25,21,3916,348,84,12,282,5132,1433,189,1210,2662,4588,0,0,483,3250,2,1279,9,352,151,12858
2033,8928,317,1384,78,81,2004,195,0,0,1304,2139,0,100,2684,1936,25,4905,0,0,0,502,1715,36,506,83,3271
1924,9795,1106,961,108,26,1902,93,632,29,1090,3773,550,172,3745,457,212,1839,0,176,2280,147,1270,7,653,117,4726
906,2925,50,1677,416,165,1680,391,768,1,764,2768,694,57,1433,627,3948,1316,303,363,3877,56,467,223,679,433,8918
2436,20511,902,1287,147,48,2463,454,370,0,1933,3162,1358,2,6793,1102,46,4462,0,34,2574,1329,743,19,592,106,6137
1195,6759,523,1044,182,369,3066,1902,1157,11,1893,4407,1266,222,2233,2351,433,1577,637,1382,6092,54,856,434,614,256,10155
2180,6652,265,1059,316,26,1518,382,0,0,2489,3373,0,20,2321,2286,12,1608,6,0,0,972,2192,33,1275,130,7081
8975,5246,404,2440,60,109,3367,1388,2560,173,772,2086,958,68,3129,1481,557,4725,250,553,6640,97,910,261,1169,1352,12627
4041,14989,312,1213,67,167,1941,256,567,6,466,2113,689,519,2249,813,298,7100,209,405,3151,119,1206,161,514,352,4260
2718,7891,444,2529,17,65,2854,1488,633,4,1797,4771,1228,189,2406,671,570,3431,6,753,4392,54,1809,79,1461,250,10749
2361,37523,237,3027,373,217,2183,2093,1623,11,4223,5850,969,33,11759,1895,1380,2400,0,527,9432,832,3321,1041,524,146,11864
2463,7861,290,3988,102,327,3957,675,1546,1,1118,6233,1293,7,3357,1272,535,5612,16,784,5932,81,2383,54,2949,95,13117
4278,19998,460,1461,148,60,2701,44,2325,7,2288,3413,1989,1580,6153,1505,3339,3940,83,189,5922,703,5104,7,1829,207,10700
3660,15104,351,1020,131,64,1535,51,2374,3,2824,4230,1829,21,6124,445,2087,3495,33,66,5795,545,4339,34,1520,150,12538
