"Alistipes","Bacteroides","Bifidobacterium","Blautia","Butyrivibrio","Caloramator","Clostridium","Coptotermes","Dethiobacter","Dorea","Escherichia","Eubacterium","Faecalibacterium","Heliobacterium","Hespellia","Kineococcus","Lactobacillus","Listeria","Parabacteroides","Peptococcus","Prevotella","Propionibacterium","Reinekea","Riemerella","Roseburia","Ruminococcus","Selenomonas","Synechococcus","Syntrophus","all_others"
14872,63644,1000,4200,2964,127,6335,533,1,1040,72,2493,5860,0,117,20853,3243,47,19250,0,7,0,0,0,3556,2519,50,4144,477,18524
6545,20001,180,2427,86,704,2696,1896,0,258,41,2907,2272,0,194,4498,5287,44,5342,5,0,0,0,1,11,1623,572,1762,616,7007
0,68992,743,3597,243,113,5121,17,310,8503,38,5890,6716,3492,43,24331,4343,216,14467,0,5,213,10413,0,2591,4527,0,6613,19,9850
2273,20577,689,1457,15,39,2466,1848,3288,93,38,1707,3177,1257,245,9476,1746,436,3290,0,105,128,5656,0,262,347,100,811,126,14439
9397,22488,387,3610,71,247,5906,821,0,478,11,3023,2718,0,83,7165,6279,74,12281,2,6,0,0,0,355,1498,379,2308,137,11017
15158,28911,3,1964,340,343,2324,322,4159,1,19,1093,3290,1326,50,650,144,134,597,0,0,58,6441,21,469,1593,11,0,0,5499
4432,19263,1684,1562,52,388,4243,100,0,81,0,1563,2887,0,22,4675,4529,219,9138,0,0,0,0,2,138,2690,82,1998,308,9122
4950,43787,195,1107,225,1030,1540,664,152,52,162,1301,3878,1312,73,13398,660,200,6834,0,1,45,2820,0,805,810,83,520,142,4734
2097,21407,654,3421,125,112,6327,325,0,232,2,4517,1535,0,597,7522,5167,73,2473,6,1178,0,0,0,82,1193,203,2349,266,10590
2737,13317,149,1166,488,229,4603,700,832,330,5,1740,4393,1747,31,3838,1616,247,2663,1,328,762,6176,133,45,1236,813,1507,528,8877
7139,12918,581,1840,505,187,5477,308,436,129,17,1311,3292,3653,55,5736,2953,1343,5894,0,1,200,5055,0,275,4392,44,3102,1638,13680
4541,11673,759,886,108,701,3348,725,2158,132,206,2674,3209,1303,1290,2384,2077,1023,3543,178,119,1411,7611,638,234,1179,361,1252,270,11686
3045,14235,77,920,408,50,4371,78,1000,23,672,288,4479,2036,36,6849,1988,113,9933,1,659,39,5074,0,217,1332,20,2616,175,10683
693,6800,672,2463,1034,45,2435,558,1092,22,8,3083,10344,1960,466,3440,2040,427,561,448,214,898,8038,52,607,2073,94,887,155,11455
2088,16418,177,3658,64,5847,7743,457,1276,1,2847,1087,4163,7475,100,1526,496,291,7,13,0,488,6115,0,15,1162,49,0,0,16614
81,13995,141,1373,534,125,1598,174,401,229,109,3701,5432,3353,419,5165,3150,423,1119,8,3905,140,6079,744,1327,1342,13,555,213,15205
281,16785,124,2252,247,237,8288,516,0,1443,2,906,2989,0,222,2918,4264,80,2193,962,2192,0,0,1,4,1788,113,580,1527,5678
2526,24829,344,957,39,326,2339,383,0,169,4,1450,3441,0,171,5307,2747,29,3904,1,82,0,0,271,101,719,156,1582,160,5593
8585,21104,552,1087,921,122,2112,402,700,226,33,918,2894,754,75,2542,1688,399,19101,1,5,173,8499,0,128,1807,185,1948,83,9112
4316,24413,100,1239,87,172,3601,928,4984,16,8,1968,3172,861,93,6993,1879,726,5423,0,524,1456,7524,0,403,376,328,544,94,15224
4556,20291,2160,1641,492,124,8544,400,1824,282,58,3419,7717,4742,225,9099,789,243,7435,0,20,364,4917,0,2487,12998,29,3063,191,8541
13005,14966,190,1400,12,111,2738,279,142,26,2,3790,4976,1477,6,6827,594,130,10062,0,1,1513,4372,0,359,2254,68,547,444,9508
6407,18595,709,2656,156,23,1688,252,369,176,78,4732,9763,3994,27,6949,1369,464,4857,0,966,107,4570,0,1009,760,44,1259,188,7478
6331,17206,295,2026,207,102,1999,60,0,2729,3,1085,1522,0,4,4945,1823,3,4903,0,1817,0,0,0,13,1661,26,1301,975,3604
