"Alistipes finegoldii","Alistipes putredinis","Bacteroides caccae","Bacteroides ovatus","Bacteroides sp. D1","Bacteroides thetaiotaomicron","Bacteroides uniformis","Bacteroides vulgatus","Bifidobacterium longum","Blautia coccoides","Blautia hansenii","Blautia hydrogenotrophica","Blautia sp. Ser8","Butyrivibrio fibrisolvens","Caloramator fervidus","Clostridium botulinum","Clostridium leptum","Clostridium polysaccharolyticum","Clostridium scindens","Clostridium sp. enrichment culture clone 7-25","Clostridium xylanolyticum","Coptotermes formosanus","Dethiobacter alkaliphilus","Eubacterium coprostanoligenes","Eubacterium eligens","Eubacterium limosum","Eubacterium rectale","Faecalibacterium prausnitzii","Heliobacterium modesticaldum","Kineococcus radiotolerans","Lachnospira multipara","Lachnospiraceae bacterium A4","Lactobacillus rhamnosus","Lactobacillus vaginalis","Listeria monocytogenes","Listeria seeligeri","Parabacteroides distasonis","Parabacteroides gordonii","Parabacteroides merdae","Parvimonas micra","Propionibacterium acnes","Reinekea blandensis","Roseburia faecis","Ruminococcus albus","Ruminococcus bromii","Ruminococcus gnavus","Ruminococcus torques","Selenomonas ruminantium","Synechococcus sp. WH 8109","Syntrophus aciditrophicus","uncultured bacterium","Bacteroides sp. WA1","all_others"
3559,1247,1364,29,842,28,46,6678,117,197,170,1025,538,42,718,245,212,318,328,156,136,1658,636,12,3,565,10,6765,1604,3073,99,941,598,1257,421,143,369,204,4125,2672,364,5256,10,19,35,191,182,204,593,620,1567,126,12960
3783,2645,4194,18,0,66,380,4320,0,182,287,827,622,23,1114,1035,215,323,223,359,175,1238,2117,93,7,679,57,6891,1889,1395,95,892,594,0,281,119,595,765,121,3908,551,5909,3,17,701,479,144,196,0,0,1103,202,13486
591,232,6987,149,0,135,745,2444,0,630,416,453,1735,962,27,271,59,393,227,250,119,330,3103,739,97,65,766,7289,1984,1009,238,853,752,0,53,964,190,577,6,4235,388,6431,497,845,1334,259,636,78,0,0,4547,1146,11251
3290,2381,55,361,1440,378,269,8366,189,27,109,1764,251,121,205,180,0,552,976,30,99,369,0,242,22,409,268,1257,0,4180,13,1703,254,3137,7,0,932,460,3641,0,0,0,209,12,1147,606,117,1569,1441,131,506,23,9703
1345,71,2493,1,0,307,362,2649,0,124,21,607,190,12,2544,749,90,426,204,278,9,1647,1496,1387,0,473,0,2610,2899,358,0,187,603,0,16,214,95,2,439,2574,314,4696,0,26,92,68,102,393,0,0,292,100,9947
8,8,16210,15474,0,2,9,16202,0,46,441,8,729,48,255,1118,8,2,684,120,252,96,380,0,0,97,7,781,1492,583,33,84,293,0,886,108,1,6,0,1289,30,1715,4,12,37,567,425,7,0,0,93,0,35455
172,60,1707,17,0,51,230,1852,0,44,31,1011,178,41,318,312,31,463,123,454,23,1620,2132,48,18,402,27,1815,1302,399,16,842,273,0,15,136,96,332,14,2546,116,4942,16,30,3,67,40,1010,0,0,334,0,8689
1770,1700,4571,1,0,70,109,92,0,160,81,1878,287,43,789,450,181,951,161,297,1045,577,3254,686,33,301,152,3782,1347,940,82,2012,306,0,39,638,92,11,9,4973,904,8131,94,476,481,75,114,127,0,0,1387,43,12273
1888,683,223,3,2427,500,54,12717,129,969,43,1034,1048,29,73,239,0,242,35,224,1549,828,0,205,258,1878,665,1789,0,5400,299,808,213,4737,43,0,114,137,2400,0,0,0,35,49,309,6,300,73,676,227,1379,410,15160
1008,254,7069,13,0,224,1094,9328,0,200,170,1019,496,106,93,565,516,400,153,225,693,1957,5595,305,375,456,407,5751,1012,456,127,1319,450,3,43,745,357,237,38,4930,1097,11470,225,955,2531,98,296,115,0,0,3446,6,12272
1682,1185,2810,179,3733,1063,380,6487,223,431,58,555,597,342,261,165,124,278,209,90,506,309,2082,178,497,512,978,4991,1774,5685,245,612,1021,946,145,472,1877,100,2319,3735,1640,9153,315,107,441,193,414,6,1495,96,1549,1822,11200
